User: 5, Action Name:credit_card, Date : September 23, 2020, 1:00 am
User: 5, Action Name:credit_card_bind
            , Date : September 23, 2020, 1:01 am
User: 5, Action Name:failed_bind
            , Date : September 23, 2020, 1:02 am
User: 5, Action Name:failed_bind, Date : September 23, 2020, 1:02 am
User: 5, Action Name:failed_bind, Date : September 23, 2020, 1:16 am
User: 5, Action Name:credit_card_bind, Date : September 23, 2020, 1:16 am
User: 5, Action Name:credit_card_bind, Date : September 23, 2020, 1:17 am
User: 5, Action Name:credit_card_bind, Date : September 23, 2020, 1:17 am
User: 5, Action Name:credit_card_bind, Date : September 23, 2020, 1:17 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:18 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:24 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:29 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:29 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:29 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:30 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:31 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:31 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:33 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:33 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:34 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:34 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:34 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:37 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:38 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:38 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:38 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:42 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:42 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:42 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:42 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:42 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:44 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:44 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:44 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:46 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:49 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:49 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:50 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:52 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:54 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:54 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:57 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:57 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 1:57 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:01 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:02 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:03 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:10 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:11 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:11 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:12 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:13 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:13 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:14 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:14 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:15 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:15 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:16 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:16 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:16 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:16 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:16 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:16 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:16 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:16 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:16 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:16 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:16 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:16 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:16 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:16 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:16 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:16 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:16 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:17 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:17 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:17 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:26 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:27 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:27 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:29 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:30 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:31 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:31 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:34 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:37 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:38 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:39 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 2:42 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:16 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:16 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:16 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:16 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:18 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:18 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:25 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:26 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:26 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:26 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:27 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:27 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:28 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:29 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:29 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:30 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:31 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:31 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:32 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:34 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:35 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:35 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:35 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:35 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:37 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:37 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:37 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:40 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:44 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:44 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:44 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:46 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:46 am
User: 9, Action Name:credit_card_bind, Date : September 23, 2020, 3:46 am
